tweets|polarity|tweet_long|id|created_date|source|likes|RTs|language|place|user_id|user_name|user_description|followers|followings|user_lists_member|user_total_favourites_count|user_statuses_count|user_created_account|user_location|user_lang
de mis favoritas 💜|1|58,0|1,10434491458492e+18|2019-03-09 11:35:20|Twitter for Android|0,0|15,0|es||8,757835685926994e+17|Abraxas|Bienvenidos a mi vertedero personal|87,0|520,0|0,0|12449,0|8265,0|2017-06-16 18:34:08||es
la marcha en guadalajara jalisco 💪🏼|0|97,0|1,1043449362944737e+18|2019-03-09 11:35:25|Twitter Web Client|0,0|3,0|es||94000473,0|Pedro Cantu Elizondo|2 carreras, Maestrías en; Administración Pública, Derecho Privado, en Derecho Fiscal, estudios de Maestría en Psicología. DOCTOR EN ADMINISTRACIÓN ESTRATÉGICA.|1737,0|380,0|238,0|44,0|633498,0|2009-12-02 02:21:43|Monterrey México|es
mejor video en lo que va del dia llore 💪🏽💪🏽💪🏽💜|1|94,0|1,1040791796105093e+18|2019-03-08 17:59:23|Twitter for Android|0,0|9467,0|es||80851544,0|Silvina Dasso|Comunicadora social de profesión, docente de vocación. Apasionada por las tecnologías. Coordinadora TIC. Aprender... hay algo mejor?|335,0|1047,0|11,0|2031,0|1739,0|2009-10-08 13:45:22|Córdoba, Argentina|es
💜 impresionante 💜 la colapsa el centro de santander cantabria 💪🏻|1|138,0|1,1041752129527235e+18|2019-03-09 00:21:00|Twitter for Android|0,0|29,0|es||3982781356,0|M❗♋||183,0|203,0|2,0|849,0|2795,0|2015-10-17 22:45:05|Santander, España|es
companeras no estamos solas estamos juntas 💜✊🏼|1|117,0|1,1041543432620769e+18|2019-03-08 22:58:04|Twitter Web Client|0,0|404,0|es||214897450,0|Francisca Bozzo Lara|Porteña, feminista, administradora pública de profesión, ciudadana del mundo.|1488,0|967,0|11,0|1362,0|11798,0|2010-11-12 14:09:58|Valparaiso, Chile|es
mas fotos del en salta|0|66,0|1,1043449287112581e+18|2019-03-09 11:35:23|Twitter for Android|0,0|1,0|es||330372343,0|Comunicación Donda|Acompañamos a la Diputada Nacional Victoria Donda|4143,0|1619,0|23,0|1942,0|24683,0|2011-07-06 14:33:48|Argentina|es
mi mama reportandose desde la marcha feminista 😂|0|96,0|1,104344921509675e+18|2019-03-09 11:35:21|Twitter for Android|0,0|23,0|es||33526372,0|paulina||222,0|356,0|1,0|4140,0|6910,0|2009-04-20 14:20:58||es
por los derechos conquistados y los que faltan|1|130,0|1,1040791729876951e+18|2019-03-08 17:59:22|Twitter for iPhone|0,0|941,0|es||97504935,0|GabrielGuerrero|Son of God; International Relation Student📚|268,0|124,0|0,0|106,0|8210,0|2009-12-17 19:07:24|Apresúrate lentamente|es
hoy orgullo al maximo por ser de villablino asi si 💪🏻💜|1|75,0|1,1043448999551017e+18|2019-03-09 11:35:16|Twitter for Android|0,0|8,0|es||9,026093228107653e+17|María❄️||33,0|53,0|0,0|1105,0|199,0|2017-08-29 19:10:07|Euskal Herria💫|es
y la ultima foto la mirada de la esperanza retratos en 💜|1|103,0|1,1041543475445023e+18|2019-03-08 22:58:05|Twitter for iPhone|0,0|819,0|es||352949024,0|David Olivas|Hago fotos y escribo libros. Autor de Serendipia (2016) La misma brújula (2017) y La luz que siempre te di (2018) Háblame en: soydavidolivas@gmail.com|22386,0|695,0|234,0|37562,0|46916,0|2011-08-11 09:35:27|Madrid, Spain|es
en mi juventud cuando una revolucion era avalada por los medios de comunicacion todos sabiamos que era una mentira|-1|136,0|1,1043448914952069e+18|2019-03-09 11:35:14|Twitter for Android|0,0|2,0|es||285818910,0|El Gonzalo 🕵️‍♂️|Padre, Chofer, Amigo, Músico, Diseñador Gráfico, Asistente y persistente|686,0|964,0|14,0|5528,0|53184,0|2011-04-21 21:01:26|Junín, Bs. As., Argentina|es
somos mujeres somos river|0|100,0|1,1040791820557885e+18|2019-03-08 17:59:24|Twitter for Android|0,0|6,0|es||9,288198712778138e+17|Silvia Gabriela||57,0|81,0|0,0|32205,0|26611,0|2017-11-10 03:01:28||es
este video de deberia verlo todo el mundo|1|125,0|1,104079966126379e+18|2019-03-08 18:02:31|Twitter for Android|0,0|1347,0|es||2802064463,0|karen ❣|Lo bueno es inmortal❣ ~// fan account|1103,0|757,0|10,0|23112,0|132766,0|2014-10-03 15:05:52|Cordobesa de pies a cabeza|es
he estado gritando tanto que no he hecho casi fotos que dia mas especial os quiero mucho a todas|1|124,0|1,1042975509103165e+18|2019-03-09 08:27:07|Twitter for iPhone|0,0|57,0|es||474067040,0|🤸🏻‍♀️|21 - Improvisemos un guión definitivo que no tengamos más remedio que olvidar -1122- Siempre reinarás ✨ - @ricardogomez10 🖤 -|484,0|383,0|2,0|66314,0|24504,0|2012-01-25 16:29:47|Valencia, España|ca
no estas sola no estamos solas|1|114,0|1,1041115771444838e+18|2019-03-08 20:08:08|Twitter Web Client|0,0|55,0|es||1706060131,0|Ixtlixochitl|Soy hija de las grandes heridas de nuestra historia.|169,0|817,0|2,0|668,0|1310,0|2013-08-28 01:30:53||es
cordoba neuquen rosario caba dijeron presente en el|0|98,0|1,1043448822383739e+18|2019-03-09 11:35:12|Twitter for Android|0,0|2,0|es||330372343,0|Comunicación Donda|Acompañamos a la Diputada Nacional Victoria Donda|4143,0|1619,0|23,0|1942,0|24683,0|2011-07-06 14:33:48|Argentina|es
el regalito de ugt seat a sus afiliadas lo ha elegido bertin osborne 🤦‍♂|0|118,0|1,1041113359593513e+18|2019-03-08 20:07:10|Twitter for Android|0,0|13,0|es||1868602543,0|🎗🎗🎗🎗🎗🎗🎗🎗🎗🎗 *X|dona, casada, mare, treballadora,lleial, INDEPENDENTISTA d tota la vida, ara republicana, il·lusionada amb el futur https://t.co/bzQJaEc0C3|6853,0|6868,0|175,0|443802,0|309905,0|2013-09-15 17:38:08|Barcelona, CATALUNYA|ca
agradezco ser tu hijo me dijo miguellto asi termino mi|0|86,0|1,1043448744664023e+18|2019-03-09 11:35:10|Twitter for Android|0,0|18,0|es||933496352,0|chelo2014||44,0|46,0|0,0|31813,0|9831,0|2012-11-08 02:49:04||es
mujeres unidas jamas seran vencidas 💜|1|82,0|1,1041543326085857e+18|2019-03-08 22:58:01|Twitter for iPhone|0,0|48,0|es||4189539376,0|Ana Fuentes Rojas|🇨🇱❤️💚🍀 El amor es como el oxígeno. Soy una mujer simple Ojo! SIMPLE no simplona...|391,0|533,0|1,0|13521,0|4232,0|2015-11-14 22:19:40|Providencia, Chile|en
madrid cuando mas precioso esta|1|96,0|1,1041561686734725e+18|2019-03-08 23:05:19|Twitter for Android|0,0|41,0|es||1,0476492167833723e+18|🏳️‍🌈|CUENTA FAN ALBA Y NATALIA, MARÍA Y MARTA💜 Nota: Me gustan casi todos pero ellas las que mas. 💜|410,0|378,0|0,0|27986,0|28153,0|2018-10-04 00:46:52||es
en coyhaique marchando junto a nuestras companeras por nuestros derechos|0|119,0|1,1041732696520704e+18|2019-03-09 00:13:16|Twitter for Android|0,0|99,0|es||8,00427925396824e+17|Caro||38,0|163,0|0,0|4125,0|2771,0|2016-11-20 19:57:43||es
vox muestra imagenes de la manifestacion del en madrid|0|102,0|1,1043448622441759e+18|2019-03-09 11:35:07|Twitter for iPhone|0,0|11,0|es||1918294698,0|Gabazkua|Maria le puso los cuernos a Jose, que lo sepais. Solo hago RT a lo que me da la gana.|31,0|93,0|3,0|1243,0|4748,0|2013-09-29 22:48:03||es
