,tweets,tweet_long,id,created_date,source,likes,RTs,language,place,user_id,user_name,user_description,followers,followings,user_lists_member,user_total_favourites_count,user_statuses_count,user_created_account,user_location,user_lang
0,"RT @otracuentahp: Seguimos una saga creada por una mujer que nos enseña que ellas pueden ser valientes,inteligentes y fuertes.Pueden ser ma…",140,1104079200716234755,2019-03-08 17:59:28,Twitter for Android,0,50,es,,897559448658497536,Aylin Cruz || Chris Evans owns my 💓,Proudly Slytherin💚🐍 || In love with Sebastian Stan and a lot of Tom's || Griezmann🇫🇷 || Zuricata BROU || The Flash⚡|| Riverdale || Marvel stan || Hamilton🎶,141,307,0,34332,13823,2017-08-15 20:43:43,México,es
1,"En memoria de cada piba que ya no está, a las que le cortaron sus alas y no volvieron a volar, las recordaremos sie… https://t.co/hlXe2bQcUx",140,1104079200036810754,2019-03-08 17:59:28,Twitter for Android,0,0,es,"Place(_api=<tweepy.api.API object at 0x0000020710F7C7B8>, id='4afa2757051c5192', url='https://api.twitter.com/1.1/geo/id/4afa2757051c5192.json', place_type='admin', name='Buenos Aires', full_name='Buenos Aires, Argentina', country_code='AR', country='Argentina', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000020710F7C7B8>, type='Polygon', coordinates=[[[-63.39386, -41.035009], [-56.665836, -41.035009], [-56.665836, -33.260144], [-63.39386, -33.260144]]]), attributes={})",992267819277406209,Juventud Radical Henderson,#InvolUCRate y SUMATE a este grupo de jóvenes Radicales Hendersonenses #JuntosPodemos 💪🇦🇹,48,31,0,107,62,2018-05-04 05:00:58,Henderson - Bueno Aires,es
2,"RT @aromeroruperez: @mablanco60 @maritahermano @lokopeda @lilith_yo @Mercede20186995 Buenos tardes Ángeles. Algunos imprevistos...
Buenas t…",140,1104079199999016962,2019-03-08 17:59:28,Twitter Web Client,0,1,es,,252179579,Antonio Romero-Rupérez,Abogado⚖️Polivalente #TO🆘SOP🗽Cinéfilo🎥Música🎶Teatro🎭Tertulias🗣️Ajedrez👩‍🎓La Física y la Filosofía me apasionan🤔#T🍀Aprendiendo cada día😊#SoyBBrainers,1380,990,16,17090,22776,2011-02-14 17:16:27,"Zaragoza, España",es
3,RT @anapolo___: Nunca hago hilos contando mis mierdas pero es #8m y me apetece contar una de las situaciones más discriminatorias e insulta…,140,1104079199172771840,2019-03-08 17:59:28,Twitter for Android,0,1973,es,,847869182888882176,victoria,"A l'atzar agraeixo tres dons: haver nascut dona, de classe baixa i nació oprimida.
I el tèrbol atzur de ser tres voltes rebel.",6,87,0,1022,602,2017-03-31 17:52:20,,es
4,"RT @eldiarioes: Albert Rivera delante, cuatro mujeres detrás y la frase ""Soy liberal"", atribuida a Clara Campoamor, de fondo. La puesta en…",139,1104079198942121989,2019-03-08 17:59:28,Twitter Web Client,0,410,es,,2309500401,Santi Ballesta,"CARTAGENERO, LAICO, SOCIALISTA HASTA LA MEDULA, VIVO EN CATALUÑA. DIGO LO QUE PIENSO Y PIENSO LO QUE DIGO. 🇪🇸🚭♌️🌅🏊‍♂️🎧👨‍👦‍👦",414,504,0,26107,42518,2014-01-28 10:08:23,"MIAMI BEACH. ESPAÑA. CARTAGENERO DE NACIMIENTO, CATALAN DE ADOPCION, SOCIALISTA HASTA LA MEDULA... ¿QUE MAS PUEDO QUERER?.",es
5,RT @anapolo___: Nunca hago hilos contando mis mierdas pero es #8m y me apetece contar una de las situaciones más discriminatorias e insulta…,140,1104079198736535555,2019-03-08 17:59:28,Twitter for Android,0,1973,es,,261016677,Albert Roca Enrich,,204,281,3,4293,6091,2011-03-05 02:26:53,Barcelona,es
6,Seguimos sumando! La #animación es MIA! #8M #DiadelaMujer https://t.co/zp2ql3hGFg,81,1104079198497460225,2019-03-08 17:59:28,Twitter for Android,0,0,es,,1001888269234327553,MIA Mujeres en la Industria de la Animación,,442,15,9,91,123,2018-05-30 18:09:12,,es
7,"RT @populares: El #8M tiene que ser el día de todas las mujeres, un día en el que nos unamos en una causa común y que no sea una jornada co…",140,1104079198438735872,2019-03-08 17:59:28,Twitter for Android,0,639,es,,419933196,Alfredo Ortiz,"Estudioso del Derecho, Responsabilidad Civil y Dº de Daños, docente, paracaidista, amante de los deportes aéreos y padre quasi emancipado ¡Bienvenidos!",2388,2947,21,7281,22812,2011-11-24 00:02:56,,es
8,"RT @1alos22: tranquila mamá, hoy ninguna va sola por la calle #8M https://t.co/OfV9idMtRM",89,1104079197830594562,2019-03-08 17:59:28,Twitter for Android,0,8282,es,,106467619,Eme,"Quiero ser twitcher de esas.🎮👾 LG(B)T🌈 420🌿 Formándome♀️💜
-Privada @Emeenprivado🌸",854,226,13,38553,75253,2010-01-19 17:15:25,"Barcelona, España",es
9,Vergüenza que existan MUJERES con este tipo de MENTALIDAD. #8M https://t.co/AKJR3gICkc,86,1104079197775908864,2019-03-08 17:59:28,Twitter for Android,0,0,es,,1103420528998653954,Zahra.,,0,0,0,0,1,2019-03-06 22:22:09,,en
10,"RT @holaPy_: Valorala, Respetala y hacela sentír segura todos los días. #FelizDíaDeLaMujer  #8M 💜💜",98,1104079196773629953,2019-03-08 17:59:27,Twitter for Android,0,13,es,,810494804345950209,Claudia García,,13,76,0,250,323,2016-12-18 14:39:54,,es
11,"RT @pacotruji: Me  quedo con esta señora, para mí,  el mensaje y la imagen del día en #Puertollano  #8M #8marzo #HuelgaFeminista2019 #Huelg…",140,1104079196631064577,2019-03-08 17:59:27,Twitter for Android,0,2597,es,,296921689,Patty,,257,80,2,2931,18481,2011-05-11 16:29:59,Sevilla,es
12,"RT @progrestonaa: Discriminación al hombre

•La edad de jubilación suele ser más alta para ellos
•En un divorcio, si hay hijos de por medio…",140,1104079196219936768,2019-03-08 17:59:27,Twitter for Android,0,47,es,,1059875765687406592,Rbks89,💚,263,568,0,2830,533,2018-11-06 18:30:48,,en
13,"RT @symphonywoman: si alguien les dice ""feliz día de la mujer"" relájense tantito y no se pongan de intensas a insultarl@s, mejor corrijan a…",140,1104079195792203776,2019-03-08 17:59:27,Twitter for Android,0,5,es,,1073332591913328640,Lady Nacatamal🇳🇮,"perdí mi otra cuenta :(
 Peace is the mission🌐🌎🌹❤ live a life you can remember ¿Qué sos Nicaragua para dolerme tanto?",54,592,0,3242,719,2018-12-13 21:43:26,,es
